text_en	reversible	time	level	item	kink	act_needs_dick	act_needs_pussy	pas_needs_dick	pas_needs_pussy	oral (act receives!)	anal	domination	rng	jokercode
ActPlayer, make PasPlayer a compliment!	1	0	0		cute	0	0	0	0	0	0	0	0	0
ActPlayer, make a face that you think describes PasPlayer's character best! PasPlayer will judge you on a scale from 1 to 10.	1	0	0		cute	0	0	0	0	0	0	0	0	0
ActPlayer, tell PasPlayer something about yourself that you haven't told them before.	1	0	0		cute	0	0	0	0	0	0	0	0	0
ActPlayer and PasPlayer, name a quality of each other that you really like!	0	0	0		cute	0	0	0	0	0	0	0	0	0
ActPlayer, try to make PasPlayer laugh! If you are succesful, you deserve a kiss!	1	35	0		cute	0	0	0	0	0	0	0	0	0
ActPlayer and PasPlayer, plank while looking each other in the eyes. If you can, go for a kiss!	0	60	0		sports	0	0	0	0	0	0	0	0	0
PasPlayer, kneel in front of ActPlayer. ActPlayer, gently stroke their face and hair!	1	30	0			0	0	0	0	0	0	1	0	0
PasPlayer, kiss ActPlayer's hand!	1	0	0			0	0	0	0	0	0	0	0	0
ActPlayer, you get a brand new joker! You can use it on any card to skip it.	1	0	0			0	0	0	0	0	0	0	0	1
ActPlayer, you get another time warp! You can use it on any card with a timer to double or halve the time.	1	0	0			0	0	0	0	0	0	0	0	2
ActPlayer, let's see XX jumping jacks!	1	0	0		sports	0	0	0	0	0	0	0	3	0
ActPlayer, think of something to whisper in PasPlayer's ear!	1	0	0			0	0	0	0	0	0	0	0	0
ActPlayer, let's go for XX squats! Go deep and don't cheat!	1	0	0		sports	0	0	0	0	0	0	0	2	0
ActPlayer and PasPlayer, sit-up battle! Whoever can do more, wins a time warp!	0	0	0		sports	0	0	0	0	0	0	0	0	4
ActPlayer, if you can do XX push-ups, win a joker!	1	0	0		sports	0	0	0	0	0	0	0	3	5
ActPlayer, tell PasPlayer you love them. It doesn't have to be true, but try and be convincing!	1	0	0			0	0	0	0	0	0	0	0	0
ActPlayer, touch, grab and squeeze PasPlayer's butt!	1	30	0			0	0	0	0	0	0	0	0	0
ActPlayer, squeeze PasPlayer's breasts through their clothes!	1	20	0			0	0	0	1	0	0	0	0	0
ActPlayer, gently pull PasPlayer's hair while kissing their neck!	1	30	0			0	0	0	0	0	0	1	0	0
ActPlayer, grab PasPlayer by the neck and kiss their cheek!	1	0	0			0	0	0	0	0	0	1	0	0
ActPlayer, make PasPlayer drink a glass of water.	1	0	0	water		0	0	0	0	0	0	1	0	0
ActPlayer, name XX good qualities that you appreciate about PasPlayer!	1	0	0		cute	0	0	0	0	0	0	0	1	0
ActPlayer, if you can name PasPlayer's mom's birthdate, get a joker!	1	0	0			0	0	0	0	0	0	0	0	5
ActPlayer, if you can name PasPlayer's dad's birthdate, get a time warp!	1	0	0			0	0	0	0	0	0	0	0	6
ActPlayer and PasPlayer, go for an eskimo kiss (rubbing noses)!	0	0	0		cute	0	0	0	0	0	0	0	0	0
ActPlayer, you may not speak for the next 3 rounds (unless it is to fulfill a task)!	1	0	0			0	0	0	0	0	0	0	0	0
ActPlayer and PasPlayer, get really close and stare at each other intensely!	0	15	0			0	0	0	0	0	0	0	0	0
Stare contest! Whoever blinks last, wins a joker!	0	0	0			0	0	0	0	0	0	0	0	3
ActPlayer, give PasPlayer XX kisses on the cheek!	1	0	0		cute	0	0	0	0	0	0	0	1	0
ActPlayer, look PasPlayer in the eye and describte them in XX adjectives!	1	0	0		cute	0	0	0	0	0	0	0	1	0
ActPlayer and PasPlayer, give each other a nice big hug!	1	30	0		cute	0	0	0	0	0	0	0	0	0
PasPlayer, take on your most seductive pose! ActPlayer, take a pic!	1	0	0	camera		0	0	0	0	0	0	0	0	0
PasPlayer, wear a blindfold for the next XX rounds!	1	0	0	blindfold		0	0	0	0	0	0	0	1	0
PasPlayer, wear a collar for the rest of the game!	1	0	0	collar		0	0	0	0	0	0	1	0	0
ActPlayer and PasPlayer, take a selfie together!	0	0	0			0	0	0	0	0	0	0	0	0
PasPlayer, get on ActPlayer's lap and get XX slaps on your butt. Clothes stay on!	1	0	0		spanking	0	0	0	0	0	0	1	2	0
PasPlayer, stand and bend over. ActPlayer, administer XX slaps on their butt. Clothes stay on!	1	0	0		spanking	0	0	0	0	0	0	1	2	0
PasPlayer, lie face down on the couch or bed! ActPlayer, administer XX slaps on their butt. Clothes stay on!	1	0	0		spanking	0	0	0	0	0	0	1	2	0
ActPlayer, gently grab PasPlayer by the throat and kiss them!	1	30	0		breath_play	0	0	0	0	0	0	1	0	0
