text_en	reversible	time	level	item	fetish	act_needs_dick	act_needs_pussy	pas_needs_dick	pas_needs_pussy	oral (act receives!)	anal	domination	rng	jokerCode	fetish2
ActPlayer, fuck PasPlayer in missionary position while kissing their neck!	1	150	3			1	0	0	1	0	0	0	0	0	
ActPlayer, fuck PasPlayer in missionary position, but with their legs over your shoulders!	1	150	3			1	0	0	1	0	0	0	0	0	
PasPlayer, stand and bend over. ActPlayer, fuck them from behind!	1	150	3			1	0	0	1	0	0	0	0	0	
PasPlayer, on your hands and knees! ActPlayer, fuck them from behind!	1	180	3			1	0	0	1	0	0	0	0	0	
ActPlayer, lie on your back! PasPlayer, squat over PasPlayer and ride them!	1	180	3			1	0	0	1	0	0	0	0	0	
ActPlayer, fuck PasPlayer in a position of your choice!	1	90	3			1	0	0	1	0	0	0	0	0	
ActPlayer, fuck PasPlayer in a position of their choice!	1	90	3			1	0	0	1	0	0	0	0	0	
ActPlayer, you are the big spoon, PasPlayer is the small spoon! Put it in that position and fuck them!	1	90	3			1	0	0	1	0	0	0	0	0	
ActPlayer and PasPlayer, have sex in missionary position until one of you has an orgasm!	1	0	3			1	0	0	1	0	0	0	0	0	
PasPlayer, lie flat on your stomach. ActPlayer, lie on top of PasPlayer and fuck them!	1	90	3			1	0	0	1	0	0	0	0	0	
PasPlayer, lie on your back. ActPlayer, alternatingly fuck their mouth and pussy!	1	180	3			1	0	0	1	1	0	1	0	0	
ActPlayer, you get a brand new joker!	1	0	3			0	0	0	0	0	0	0	0	1	
ActPlayer, you get another time warp! Let's go!	1	0	3			0	0	0	0	0	0	0	0	2	
ActPlayer, make PasPlayer come using your hands only! A new time warp is at stake!	1	150	3			0	0	0	0	0	0	0	0	4	
ActPlayer, fuck PasPlayer in missionary position!	1	60	3			1	0	0	1	0	0	0	0	0	
ActPlayer, fuck PasPlayer in missionary position, but with their legs over your shoulders!	1	60	3			1	0	0	1	0	0	0	0	0	
PasPlayer, on your hands and knees! ActPlayer, fuck them from behind!	1	75	3			1	0	0	1	0	0	0	0	0	
ActPlayer, lie on your back! PasPlayer, squat over PasPlayer and ride them!	1	75	3			1	0	0	1	0	0	0	0	0	
Reverse cowgirl!  PasPlayer, squat over PasPlayer looking away from ActPlayer and ride them!	1	180	3			1	0	0	1	0	0	0	0	0	
